GeneFamily,Sample,Value
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,GeneFamily,UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,23.666077487800003
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,34.7615943784
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,19.0126547733
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,12.2157010501
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,27.450793238899998
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,17.4658996497
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,10.1019253591
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,6.3268517628
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,18.0099332134
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,27.071927519299997
UniRef90_A0A062WY47|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis
