GeneFamily,Sample,Value,Condition
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,15.5029210335,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,20.0811357429,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,16.3107217198,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,17.309004358499998,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,34.6390644786,No-Monarch
UniRef90_A0A062X7H3|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,52.3651871781,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,36.9174779715,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,46.4303829946,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,72.6547372948,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,24.2456733898,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,69.65145956229999,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,64.0953136602,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,42.4408563923,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,38.2700453924,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,101.3130722089,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,34.625264338899996,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,22.220475881,Monarch
